ticker,weight,level,rep
WMT,0.05,L0,2
DIS,0.015,L0,2
MMM,0.0,L1,2
AMZN,0.06,L1,2
AXP,0.02,L1,2
AMGN,0.06,L1,2
AAPL,0.07,L1,2
BA,0.0,L1,2
CAT,0.015,L1,2
CVX,0.015,L1,2
CSCO,0.025,L1,2
KO,0.055,L1,2
DOW,0.0,L1,2
GS,0.0,L1,2
HD,0.03,L1,2
HON,0.01,L1,2
IBM,0.015,L1,2
INTC,0.0,L1,2
JNJ,0.07,L1,2
JPM,0.015,L1,2
MCD,0.045,L1,2
MRK,0.07,L1,2
MSFT,0.09,L1,2
NKE,0.0,L1,2
PG,0.07,L1,2
CRM,0.025,L1,2
TRV,0.035,L1,2
UNH,0.055,L1,2
VZ,0.0,L1,2
V,0.05,L1,2
WMT,0.08,L1,2
DIS,0.0,L1,2
MMM,0.0,L2,2
AMZN,0.078,L2,2
AXP,0.0,L2,2
AMGN,0.0,L2,2
AAPL,0.184,L2,2
BA,0.0,L2,2
CAT,0.0,L2,2
CVX,0.0,L2,2
CSCO,0.0,L2,2
KO,0.0,L2,2
DOW,0.0,L2,2
GS,0.0,L2,2
HD,0.0,L2,2
HON,0.0,L2,2
IBM,0.0,L2,2
INTC,0.0,L2,2
JNJ,0.0,L2,2
JPM,0.0,L2,2
MCD,0.0,L2,2
MRK,0.35,L2,2
MSFT,0.234,L2,2
NKE,0.0,L2,2
PG,0.0,L2,2
CRM,0.0,L2,2
TRV,0.0,L2,2
UNH,0.0,L2,2
VZ,0.0,L2,2
V,0.154,L2,2
WMT,0.0,L2,2
DIS,0.0,L2,2
MMM,0.0,L3,2
AMZN,0.086,L3,2
AXP,0.0,L3,2
AMGN,0.068,L3,2
AAPL,0.132,L3,2
BA,0.0,L3,2
CAT,0.0,L3,2
CVX,0.0,L3,2
CSCO,0.0,L3,2
KO,0.0,L3,2
DOW,0.0,L3,2
GS,0.0,L3,2
HD,0.0,L3,2
HON,0.0,L3,2
IBM,0.0,L3,2
INTC,0.0,L3,2
JNJ,0.0,L3,2
JPM,0.0,L3,2
MCD,0.0,L3,2
MRK,0.184,L3,2
MSFT,0.18,L3,2
NKE,0.0,L3,2
PG,0.106,L3,2
CRM,0.044,L3,2
TRV,0.0,L3,2
UNH,0.104,L3,2
VZ,0.0,L3,2
V,0.096,L3,2
WMT,0.0,L3,2
DIS,0.0,L3,2
MMM,0.02,L0,3
AMZN,0.03,L0,3
AXP,0.025,L0,3
AMGN,0.04,L0,3
AAPL,0.045,L0,3
BA,0.01,L0,3
CAT,0.02,L0,3
CVX,0.035,L0,3
CSCO,0.035,L0,3
KO,0.045,L0,3
DOW,0.015,L0,3
GS,0.02,L0,3
HD,0.035,L0,3
HON,0.025,L0,3
IBM,0.03,L0,3
INTC,0.015,L0,3
JNJ,0.055,L0,3
JPM,0.03,L0,3
MCD,0.04,L0,3
MRK,0.045,L0,3
MSFT,0.05,L0,3
NKE,0.02,L0,3
PG,0.055,L0,3
CRM,0.02,L0,3
TRV,0.03,L0,3
UNH,0.05,L0,3
VZ,0.035,L0,3
V,0.04,L0,3
WMT,0.045,L0,3
DIS,0.015,L0,3
MMM,0.0,L1,3
AMZN,0.06,L1,3
AXP,0.02,L1,3
AMGN,0.06,L1,3
AAPL,0.07,L1,3
BA,0.0,L1,3
CAT,0.015,L1,3
CVX,0.015,L1,3
CSCO,0.025,L1,3
KO,0.055,L1,3
DOW,0.0,L1,3
GS,0.0,L1,3
HD,0.025,L1,3
HON,0.01,L1,3
IBM,0.015,L1,3
INTC,0.0,L1,3
JNJ,0.08,L1,3
JPM,0.01,L1,3
MCD,0.055,L1,3
MRK,0.08,L1,3
MSFT,0.09,L1,3
NKE,0.0,L1,3
PG,0.08,L1,3
CRM,0.025,L1,3
TRV,0.04,L1,3
UNH,0.06,L1,3
VZ,0.0,L1,3
V,0.045,L1,3
WMT,0.08,L1,3
DIS,0.0,L1,3
MMM,0.0,L2,3
AMZN,0.067,L2,3
AXP,0.0,L2,3
AMGN,0.0,L2,3
AAPL,0.145,L2,3
BA,0.0,L2,3
CAT,0.0,L2,3
CVX,0.0,L2,3
CSCO,0.0,L2,3
KO,0.0,L2,3
DOW,0.0,L2,3
GS,0.0,L2,3
HD,0.0,L2,3
HON,0.0,L2,3
IBM,0.0,L2,3
INTC,0.0,L2,3
JNJ,0.0,L2,3
JPM,0.0,L2,3
MCD,0.0,L2,3
MRK,0.316,L2,3
MSFT,0.233,L2,3
NKE,0.0,L2,3
PG,0.0,L2,3
CRM,0.0,L2,3
TRV,0.0,L2,3
UNH,0.0,L2,3
VZ,0.0,L2,3
V,0.0,L2,3
WMT,0.239,L2,3
DIS,0.0,L2,3
MMM,0.0,L3,3
AMZN,0.086,L3,3
AXP,0.046,L3,3
AMGN,0.049,L3,3
AAPL,0.11,L3,3
BA,0.0,L3,3
CAT,0.028,L3,3
CVX,0.012,L3,3
CSCO,0.01,L3,3
KO,0.018,L3,3
DOW,0.0,L3,3
GS,0.0,L3,3
HD,0.03,L3,3
HON,0.0,L3,3
IBM,0.0,L3,3
INTC,0.0,L3,3
JNJ,0.02,L3,3
JPM,0.0,L3,3
MCD,0.012,L3,3
MRK,0.09,L3,3
MSFT,0.12,L3,3
NKE,0.0,L3,3
PG,0.07,L3,3
CRM,0.055,L3,3
TRV,0.0,L3,3
UNH,0.06,L3,3
VZ,0.0,L3,3
V,0.05,L3,3
WMT,0.084,L3,3
DIS,0.05,L3,3
MMM,0.02,L0,4
AMZN,0.03,L0,4
AXP,0.025,L0,4
AMGN,0.04,L0,4
AAPL,0.045,L0,4
BA,0.01,L0,4
CAT,0.02,L0,4
CVX,0.035,L0,4
CSCO,0.035,L0,4
KO,0.045,L0,4
DOW,0.015,L0,4
GS,0.02,L0,4
HD,0.035,L0,4
HON,0.025,L0,4
IBM,0.03,L0,4
INTC,0.02,L0,4
JNJ,0.055,L0,4
JPM,0.03,L0,4
MCD,0.045,L0,4
MRK,0.045,L0,4
MSFT,0.055,L0,4
NKE,0.02,L0,4
PG,0.055,L0,4
CRM,0.02,L0,4
TRV,0.025,L0,4
UNH,0.055,L0,4
VZ,0.04,L0,4
V,0.04,L0,4
WMT,0.05,L0,4
DIS,0.015,L0,4
MMM,0.0,L1,4
AMZN,0.06,L1,4
AXP,0.02,L1,4
AMGN,0.06,L1,4
AAPL,0.07,L1,4
BA,0.0,L1,4
CAT,0.015,L1,4
CVX,0.015,L1,4
CSCO,0.025,L1,4
KO,0.055,L1,4
DOW,0.0,L1,4
GS,0.0,L1,4
HD,0.03,L1,4
HON,0.01,L1,4
IBM,0.015,L1,4
INTC,0.0,L1,4
JNJ,0.08,L1,4
JPM,0.015,L1,4
MCD,0.055,L1,4
MRK,0.08,L1,4
MSFT,0.09,L1,4
NKE,0.0,L1,4
PG,0.08,L1,4
CRM,0.025,L1,4
TRV,0.04,L1,4
UNH,0.055,L1,4
VZ,0.0,L1,4
V,0.045,L1,4
WMT,0.08,L1,4
DIS,0.0,L1,4
MMM,0.0,L2,4
AMZN,0.06,L2,4
AXP,0.03,L2,4
AMGN,0.045,L2,4
AAPL,0.085,L2,4
BA,0.0,L2,4
CAT,0.02,L2,4
CVX,0.01,L2,4
CSCO,0.015,L2,4
KO,0.02,L2,4
DOW,0.0,L2,4
GS,0.01,L2,4
HD,0.025,L2,4
HON,0.01,L2,4
IBM,0.005,L2,4
INTC,0.0,L2,4
JNJ,0.015,L2,4
JPM,0.015,L2,4
MCD,0.02,L2,4
MRK,0.09,L2,4
MSFT,0.095,L2,4
NKE,0.0,L2,4
PG,0.08,L2,4
CRM,0.04,L2,4
TRV,0.015,L2,4
UNH,0.06,L2,4
VZ,0.0,L2,4
V,0.055,L2,4
WMT,0.095,L2,4
DIS,0.0,L2,4
MMM,0.0,L3,4
AMZN,0.079,L3,4
AXP,0.046,L3,4
AMGN,0.05,L3,4
AAPL,0.102,L3,4
BA,0.0,L3,4
CAT,0.028,L3,4
CVX,0.018,L3,4
CSCO,0.02,L3,4
KO,0.018,L3,4
DOW,0.0,L3,4
GS,0.018,L3,4
HD,0.04,L3,4
HON,0.012,L3,4
IBM,0.0,L3,4
INTC,0.0,L3,4
JNJ,0.0,L3,4
JPM,0.028,L3,4
MCD,0.012,L3,4
MRK,0.09,L3,4
MSFT,0.11,L3,4
NKE,0.0,L3,4
PG,0.06,L3,4
CRM,0.06,L3,4
TRV,0.012,L3,4
UNH,0.06,L3,4
VZ,0.0,L3,4
V,0.055,L3,4
WMT,0.082,L3,4
DIS,0.0,L3,4
MMM,0.02,L0,5
AMZN,0.03,L0,5
AXP,0.025,L0,5
AMGN,0.035,L0,5
AAPL,0.045,L0,5
BA,0.01,L0,5
CAT,0.02,L0,5
CVX,0.03,L0,5
CSCO,0.035,L0,5
KO,0.045,L0,5
DOW,0.015,L0,5
GS,0.015,L0,5
HD,0.03,L0,5
HON,0.025,L0,5
IBM,0.03,L0,5
INTC,0.015,L0,5
JNJ,0.055,L0,5
JPM,0.025,L0,5
MCD,0.04,L0,5
MRK,0.045,L0,5
MSFT,0.05,L0,5
NKE,0.015,L0,5
PG,0.055,L0,5
CRM,0.02,L0,5
TRV,0.03,L0,5
UNH,0.05,L0,5
VZ,0.04,L0,5
V,0.035,L0,5
WMT,0.045,L0,5
DIS,0.015,L0,5
MMM,0.0,L1,5
AMZN,0.06,L1,5
AXP,0.02,L1,5
AMGN,0.06,L1,5
AAPL,0.07,L1,5
BA,0.0,L1,5
CAT,0.01,L1,5
CVX,0.01,L1,5
CSCO,0.02,L1,5
KO,0.05,L1,5
DOW,0.0,L1,5
GS,0.0,L1,5
HD,0.02,L1,5
HON,0.01,L1,5
IBM,0.01,L1,5
INTC,0.0,L1,5
JNJ,0.08,L1,5
JPM,0.01,L1,5
MCD,0.05,L1,5
MRK,0.09,L1,5
MSFT,0.09,L1,5
NKE,0.0,L1,5
PG,0.09,L1,5
CRM,0.02,L1,5
TRV,0.04,L1,5
UNH,0.07,L1,5
VZ,0.0,L1,5
V,0.05,L1,5
WMT,0.09,L1,5
DIS,0.0,L1,5
MMM,0.0,L2,5
AMZN,0.078,L2,5
AXP,0.0,L2,5
AMGN,0.0,L2,5
AAPL,0.188,L2,5
BA,0.0,L2,5
CAT,0.0,L2,5
CVX,0.0,L2,5
CSCO,0.0,L2,5
KO,0.0,L2,5
DOW,0.0,L2,5
GS,0.0,L2,5
HD,0.0,L2,5
HON,0.0,L2,5
IBM,0.0,L2,5
INTC,0.0,L2,5
JNJ,0.0,L2,5
JPM,0.0,L2,5
MCD,0.0,L2,5
MRK,0.301,L2,5
MSFT,0.247,L2,5
NKE,0.0,L2,5
PG,0.0,L2,5
CRM,0.0,L2,5
TRV,0.0,L2,5
UNH,0.0,L2,5
VZ,0.0,L2,5
V,0.0,L2,5
WMT,0.186,L2,5
DIS,0.0,L2,5
MMM,0.0,L3,5
AMZN,0.078,L3,5
AXP,0.028,L3,5
AMGN,0.051,L3,5
AAPL,0.112,L3,5
BA,0.0,L3,5
CAT,0.018,L3,5
CVX,0.0,L3,5
CSCO,0.0,L3,5
KO,0.0,L3,5
DOW,0.0,L3,5
GS,0.0,L3,5
HD,0.021,L3,5
HON,0.0,L3,5
IBM,0.0,L3,5
INTC,0.0,L3,5
JNJ,0.0,L3,5
JPM,0.0,L3,5
MCD,0.0,L3,5
MRK,0.16,L3,5
MSFT,0.17,L3,5
NKE,0.0,L3,5
PG,0.094,L3,5
CRM,0.052,L3,5
TRV,0.0,L3,5
UNH,0.08,L3,5
VZ,0.0,L3,5
V,0.056,L3,5
WMT,0.08,L3,5
DIS,0.0,L3,5
MMM,0.015,L0,6
AMZN,0.035,L0,6
AXP,0.025,L0,6
AMGN,0.035,L0,6
AAPL,0.045,L0,6
BA,0.01,L0,6
CAT,0.02,L0,6
CVX,0.03,L0,6
CSCO,0.035,L0,6
KO,0.045,L0,6
DOW,0.015,L0,6
GS,0.015,L0,6
HD,0.035,L0,6
HON,0.025,L0,6
IBM,0.03,L0,6
INTC,0.015,L0,6
JNJ,0.055,L0,6
JPM,0.025,L0,6
MCD,0.04,L0,6
MRK,0.045,L0,6
MSFT,0.055,L0,6
NKE,0.02,L0,6
PG,0.055,L0,6
CRM,0.02,L0,6
TRV,0.025,L0,6
UNH,0.05,L0,6
VZ,0.035,L0,6
V,0.04,L0,6
WMT,0.05,L0,6
DIS,0.015,L0,6
MMM,0.0,L1,6
AMZN,0.06,L1,6
AXP,0.02,L1,6
AMGN,0.06,L1,6
AAPL,0.07,L1,6
BA,0.0,L1,6
CAT,0.015,L1,6
CVX,0.015,L1,6
CSCO,0.025,L1,6
KO,0.05,L1,6
DOW,0.0,L1,6
GS,0.0,L1,6
HD,0.03,L1,6
HON,0.01,L1,6
IBM,0.015,L1,6
INTC,0.0,L1,6
JNJ,0.07,L1,6
JPM,0.015,L1,6
MCD,0.045,L1,6
MRK,0.08,L1,6
MSFT,0.09,L1,6
NKE,0.0,L1,6
PG,0.08,L1,6
CRM,0.025,L1,6
TRV,0.035,L1,6
UNH,0.065,L1,6
VZ,0.0,L1,6
V,0.05,L1,6
WMT,0.075,L1,6
DIS,0.0,L1,6
MMM,0.0,L2,6
AMZN,0.068,L2,6
AXP,0.0,L2,6
AMGN,0.053,L2,6
AAPL,0.094,L2,6
BA,0.0,L2,6
CAT,0.0,L2,6
CVX,0.0,L2,6
CSCO,0.0,L2,6
KO,0.0,L2,6
DOW,0.0,L2,6
GS,0.0,L2,6
HD,0.0,L2,6
HON,0.0,L2,6
IBM,0.0,L2,6
INTC,0.0,L2,6
JNJ,0.0,L2,6
JPM,0.0,L2,6
MCD,0.0,L2,6
MRK,0.226,L2,6
MSFT,0.155,L2,6
NKE,0.0,L2,6
PG,0.17,L2,6
CRM,0.0,L2,6
TRV,0.0,L2,6
UNH,0.084,L2,6
VZ,0.0,L2,6
V,0.0,L2,6
WMT,0.15,L2,6
DIS,0.0,L2,6
MMM,0.0,L3,6
AMZN,0.09,L3,6
AXP,0.045,L3,6
AMGN,0.055,L3,6
AAPL,0.11,L3,6
BA,0.0,L3,6
CAT,0.03,L3,6
CVX,0.02,L3,6
CSCO,0.015,L3,6
KO,0.02,L3,6
DOW,0.0,L3,6
GS,0.02,L3,6
HD,0.04,L3,6
HON,0.015,L3,6
IBM,0.0,L3,6
INTC,0.0,L3,6
JNJ,0.0,L3,6
JPM,0.03,L3,6
MCD,0.015,L3,6
MRK,0.09,L3,6
MSFT,0.12,L3,6
NKE,0.0,L3,6
PG,0.07,L3,6
CRM,0.06,L3,6
TRV,0.015,L3,6
UNH,0.055,L3,6
VZ,0.0,L3,6
V,0.055,L3,6
WMT,0.095,L3,6
DIS,0.0,L3,6
MMM,0.02,L0,7
AMZN,0.03,L0,7
AXP,0.025,L0,7
AMGN,0.035,L0,7
AAPL,0.045,L0,7
BA,0.01,L0,7
CAT,0.02,L0,7
CVX,0.03,L0,7
CSCO,0.035,L0,7
KO,0.045,L0,7
DOW,0.015,L0,7
GS,0.02,L0,7
HD,0.035,L0,7
HON,0.025,L0,7
IBM,0.03,L0,7
INTC,0.015,L0,7
JNJ,0.055,L0,7
JPM,0.03,L0,7
MCD,0.04,L0,7
MRK,0.045,L0,7
MSFT,0.05,L0,7
NKE,0.02,L0,7
PG,0.055,L0,7
CRM,0.02,L0,7
TRV,0.03,L0,7
UNH,0.055,L0,7
VZ,0.035,L0,7
V,0.04,L0,7
WMT,0.05,L0,7
DIS,0.015,L0,7
MMM,0.0,L1,7
AMZN,0.06,L1,7
AXP,0.02,L1,7
AMGN,0.06,L1,7
AAPL,0.07,L1,7
BA,0.0,L1,7
CAT,0.01,L1,7
CVX,0.015,L1,7
CSCO,0.025,L1,7
KO,0.055,L1,7
DOW,0.0,L1,7
GS,0.0,L1,7
HD,0.03,L1,7
HON,0.01,L1,7
IBM,0.015,L1,7
INTC,0.0,L1,7
JNJ,0.08,L1,7
JPM,0.015,L1,7
MCD,0.05,L1,7
MRK,0.08,L1,7
MSFT,0.09,L1,7
NKE,0.0,L1,7
PG,0.08,L1,7
CRM,0.02,L1,7
TRV,0.04,L1,7
UNH,0.07,L1,7
VZ,0.0,L1,7
V,0.055,L1,7
WMT,0.075,L1,7
DIS,0.005,L1,7
MMM,0.0,L2,7
AMZN,0.072,L2,7
AXP,0.0,L2,7
AMGN,0.062,L2,7
AAPL,0.09,L2,7
BA,0.0,L2,7
CAT,0.0,L2,7
CVX,0.0,L2,7
CSCO,0.0,L2,7
KO,0.0,L2,7
DOW,0.0,L2,7
GS,0.0,L2,7
HD,0.0,L2,7
HON,0.0,L2,7
IBM,0.0,L2,7
INTC,0.0,L2,7
JNJ,0.0,L2,7
JPM,0.0,L2,7
MCD,0.0,L2,7
MRK,0.21,L2,7
MSFT,0.16,L2,7
NKE,0.0,L2,7
PG,0.14,L2,7
CRM,0.026,L2,7
TRV,0.0,L2,7
UNH,0.08,L2,7
VZ,0.0,L2,7
V,0.06,L2,7
WMT,0.1,L2,7
DIS,0.0,L2,7
MMM,0.0,L3,7
AMZN,0.086,L3,7
AXP,0.047,L3,7
AMGN,0.05,L3,7
AAPL,0.112,L3,7
BA,0.0,L3,7
CAT,0.028,L3,7
CVX,0.011,L3,7
CSCO,0.018,L3,7
KO,0.019,L3,7
DOW,0.0,L3,7
GS,0.015,L3,7
HD,0.034,L3,7
HON,0.012,L3,7
IBM,0.0,L3,7
INTC,0.0,L3,7
JNJ,0.0,L3,7
JPM,0.026,L3,7
MCD,0.01,L3,7
MRK,0.095,L3,7
MSFT,0.128,L3,7
NKE,0.0,L3,7
PG,0.06,L3,7
CRM,0.053,L3,7
TRV,0.018,L3,7
UNH,0.055,L3,7
VZ,0.0,L3,7
V,0.05,L3,7
WMT,0.073,L3,7
DIS,0.0,L3,7
MMM,0.015,L0,8
AMZN,0.025,L0,8
AXP,0.02,L0,8
AMGN,0.035,L0,8
AAPL,0.045,L0,8
BA,0.01,L0,8
CAT,0.02,L0,8
CVX,0.03,L0,8
CSCO,0.035,L0,8
KO,0.05,L0,8
DOW,0.015,L0,8
GS,0.015,L0,8
HD,0.035,L0,8
HON,0.025,L0,8
IBM,0.03,L0,8
INTC,0.015,L0,8
JNJ,0.06,L0,8
JPM,0.025,L0,8
MCD,0.045,L0,8
MRK,0.045,L0,8
MSFT,0.055,L0,8
NKE,0.02,L0,8
PG,0.06,L0,8
CRM,0.015,L0,8
TRV,0.03,L0,8
UNH,0.055,L0,8
VZ,0.04,L0,8
V,0.04,L0,8
WMT,0.05,L0,8
DIS,0.015,L0,8
MMM,0.0,L1,8
AMZN,0.06,L1,8
AXP,0.02,L1,8
AMGN,0.06,L1,8
AAPL,0.07,L1,8
BA,0.0,L1,8
CAT,0.015,L1,8
CVX,0.01,L1,8
CSCO,0.03,L1,8
KO,0.055,L1,8
DOW,0.0,L1,8
GS,0.0,L1,8
HD,0.025,L1,8
HON,0.01,L1,8
IBM,0.015,L1,8
INTC,0.0,L1,8
JNJ,0.08,L1,8
JPM,0.015,L1,8
MCD,0.055,L1,8
MRK,0.08,L1,8
MSFT,0.09,L1,8
NKE,0.0,L1,8
PG,0.08,L1,8
CRM,0.025,L1,8
TRV,0.035,L1,8
UNH,0.065,L1,8
VZ,0.0,L1,8
V,0.055,L1,8
WMT,0.08,L1,8
DIS,0.005,L1,8
MMM,0.0,L2,8
AMZN,0.082,L2,8
AXP,0.0,L2,8
AMGN,0.06,L2,8
AAPL,0.09,L2,8
BA,0.0,L2,8
CAT,0.0,L2,8
CVX,0.0,L2,8
CSCO,0.0,L2,8
KO,0.0,L2,8
DOW,0.0,L2,8
GS,0.0,L2,8
HD,0.0,L2,8
HON,0.0,L2,8
IBM,0.0,L2,8
INTC,0.0,L2,8
JNJ,0.0,L2,8
JPM,0.0,L2,8
MCD,0.0,L2,8
MRK,0.18,L2,8
MSFT,0.11,L2,8
NKE,0.0,L2,8
PG,0.14,L2,8
CRM,0.028,L2,8
TRV,0.0,L2,8
UNH,0.09,L2,8
VZ,0.0,L2,8
V,0.07,L2,8
WMT,0.15,L2,8
DIS,0.0,L2,8
MMM,0.0,L3,8
AMZN,0.084,L3,8
AXP,0.045,L3,8
AMGN,0.052,L3,8
AAPL,0.104,L3,8
BA,0.0,L3,8
CAT,0.028,L3,8
CVX,0.018,L3,8
CSCO,0.02,L3,8
KO,0.018,L3,8
DOW,0.0,L3,8
GS,0.018,L3,8
HD,0.032,L3,8
HON,0.012,L3,8
IBM,0.0,L3,8
INTC,0.0,L3,8
JNJ,0.02,L3,8
JPM,0.024,L3,8
MCD,0.016,L3,8
MRK,0.078,L3,8
MSFT,0.112,L3,8
NKE,0.0,L3,8
PG,0.06,L3,8
CRM,0.06,L3,8
TRV,0.01,L3,8
UNH,0.06,L3,8
VZ,0.0,L3,8
V,0.05,L3,8
WMT,0.06,L3,8
DIS,0.019,L3,8
