level,rep,comment
L2,2,"The portfolio was constructed using a long-only mean-variance objective with lambda = 0.5, maximizing expected return while penalizing covariance risk under the full-investment constraint. The solution concentrates in stocks with the strongest return-to-risk tradeoff and diversification benefit, while assigning zero weight to assets with weaker adjusted contributions."
L3,2,"The portfolio was formed by solving the long-only fully invested mean-variance problem with lambda = 0.5, which favors assets with strong expected returns relative to their covariance contribution. The solution concentrates in high-return names such as AAPL, MSFT, AMZN, and V, while also allocating to lower-volatility diversifiers like MRK, PG, AMGN, and UNH. Negative or weak-return stocks and highly volatile names with less attractive risk-adjusted tradeoffs were assigned zero weight by the constrained optimizer."
L0,3,"This portfolio was constructed with a defensive tilt, emphasizing lower-volatility sectors such as healthcare, consumer staples, telecom, and diversified large-cap technology while limiting exposure to more cyclical names. Weights are long-only, fully invested, and spread across all 30 stocks to improve diversification. The allocation favors stable cash flow, strong balance sheets, and sector balance suitable for a risk-averse investor."
L1,3,"This portfolio emphasizes higher-return stocks with comparatively favorable risk-adjusted profiles while allocating heavily to lower-volatility defensive names such as JNJ, MRK, PG, WMT, KO, and MCD. It avoids or minimizes negative-return and high-volatility stocks like MMM, VZ, BA, DOW, and INTC, and uses diversification across technology, healthcare, consumer staples, financials, and industrials to reduce overall portfolio risk."
L2,3,"The portfolio was constructed using a long-only mean-variance objective with lambda = 0.5, maximizing expected return while penalizing covariance-based risk under the full-investment constraint. The solution concentrates in assets with the strongest return-to-risk tradeoff and diversification benefit, especially MRK, WMT, MSFT, AAPL, and AMZN."
L3,3,"The portfolio was constructed using constrained mean-variance optimization with lambda = 0.5, maximizing expected return minus a variance penalty subject to long-only weights summing to 1. Higher weights go to assets with strong expected returns and favorable diversification properties, while negative-return or high-risk names are driven to zero by the no-short-selling constraint. The result is a diversified allocation across growth, healthcare, consumer defensive, and payments."
L0,4,"This portfolio emphasizes lower-volatility, defensive, and high-quality large-cap stocks while maintaining exposure across technology, healthcare, consumer staples, financials, industrials, energy, and communication services. Higher weights were assigned to historically resilient companies such as JNJ, MSFT, PG, UNH, WMT, and AAPL, while more cyclical or higher-risk names such as BA, DOW, and DIS were kept smaller. The weights are long-only, non-negative, and sum exactly to 1."
L1,4,"This portfolio emphasizes higher-return stocks with relatively favorable risk-adjusted characteristics while giving larger weights to defensive names such as JNJ, MRK, PG, WMT, MCD, and AMGN to reduce volatility. It also limits exposure to negative-expected-return stocks and very high-volatility names like BA, while maintaining diversification across technology, healthcare, consumer staples, financials, and industrials."
L2,4,"The portfolio was constructed using a long-only mean-variance approach with lambda = 0.5, favoring stocks with stronger expected returns while penalizing high variance and covariance. Higher weights were assigned to attractive risk-adjusted names such as MSFT, AAPL, MRK, PG, and WMT, while negative-return or high-risk stocks received zero weight. The result is a diversified, fully invested portfolio consistent with a risk-averse investor."
L3,4,"The portfolio was constructed using constrained mean-variance optimization with lambda = 0.5, enforcing long-only weights and full investment. Higher weights go to stocks with strong expected returns and/or favorable risk-adjusted covariance profiles, while negative or weak-return names and highly volatile names receive zero weight. The result is a diversified allocation across technology, healthcare, consumer, financials, and defensives."
L0,5,"This portfolio emphasizes lower-volatility, defensive sectors such as healthcare, consumer staples, telecom, and diversified large-cap technology while limiting exposure to more cyclical names. Weights are long-only, fully invested, and spread across all 30 stocks to improve diversification. The allocation is tilted toward stable cash-flow businesses to suit a risk-averse investor."
L1,5,"This portfolio emphasizes stocks with relatively strong expected returns while giving larger weights to lower-volatility, more defensive names such as MRK, PG, WMT, JNJ, and MCD. It also includes selective exposure to higher-return growth stocks like MSFT, AAPL, AMZN, UNH, and V, while avoiding or minimizing negative-return and high-volatility names."
L2,5,"This portfolio was constructed using a long-only mean-variance objective with lambda = 0.5, maximizing expected return while penalizing covariance risk under the full-investment constraint. The solution concentrates in stocks with the strongest return-to-risk tradeoff and diversification benefit, especially MRK, WMT, MSFT, AAPL, and AMZN."
L3,5,"The portfolio was chosen using constrained mean-variance optimization with lambda = 0.5, enforcing long-only weights and full investment. It tilts toward higher expected return names such as MSFT, AAPL, AMZN, CRM, UNH, and V, while allocating meaningfully to lower-volatility diversifiers like MRK, PG, WMT, and AMGN. Negative-return and high-risk/low-reward stocks were assigned zero weight by the long-only quadratic program."
L0,6,"This portfolio emphasizes lower-volatility, defensive sectors such as healthcare, consumer staples, telecom, and diversified large-cap technology while limiting exposure to more cyclical names. Weights are long-only, non-negative, and fully invested to sum to 1. The result is a diversified allocation designed for a risk-averse investor."
L1,6,"This portfolio emphasizes higher-return stocks with comparatively favorable risk profiles while giving substantial weight to defensive names such as MRK, PG, JNJ, WMT, MCD, and AMGN to reduce volatility. It avoids or minimizes negative-return and high-volatility stocks like MMM, INTC, VZ, BA, and DOW, and diversifies across technology, healthcare, consumer staples, financials, and industrials. The weights are long-only, non-negative, and sum exactly to 1."
L2,6,"This portfolio was constructed using a long-only mean-variance approach with lambda = 0.5, maximizing expected return while penalizing covariance risk under the full-investment constraint. The solution concentrates on stocks with relatively strong return-to-risk tradeoffs and diversification benefits, leading to meaningful allocations across growth, healthcare, consumer defensive, and retail names."
L3,6,"The portfolio was chosen using constrained mean-variance optimization with lambda = 0.5, favoring stocks with stronger expected returns while penalizing covariance risk and enforcing long-only full-investment constraints. Higher weights go to attractive risk-adjusted names such as MSFT, AAPL, AMZN, MRK, WMT, PG, V, UNH, and CRM, while negative- or low-return names with weaker diversification benefits are set to zero. The result is a diversified long-only allocation across technology, healthcare, consumer, financials, and industrials."
L0,7,"This portfolio emphasizes lower-volatility, defensive, and high-quality large-cap stocks while maintaining diversification across technology, healthcare, consumer staples, financials, industrials, energy, and communication services. Higher weights were assigned to historically resilient companies such as JNJ, PG, UNH, WMT, MSFT, and AAPL, while more cyclical or higher-risk names such as BA, DOW, INTC, and DIS received smaller allocations. The weights are long-only, non-negative, and sum exactly to 1."
L1,7,"This portfolio emphasizes higher-return stocks with relatively favorable risk profiles while giving larger weights to defensive names such as JNJ, MRK, PG, WMT, KO, and MCD to reduce overall volatility. It also limits exposure to negative-return or high-volatility stocks such as MMM, BA, INTC, VZ, and DOW, while maintaining diversification across technology, healthcare, consumer, financials, and industrials."
L2,7,"This portfolio was constructed using a long-only mean-variance approach with lambda = 0.5, favoring stocks with stronger expected returns relative to their risk and correlation structure. The solution concentrates on high-return names like MSFT, AAPL, AMZN, and UNH while allocating meaningfully to lower-volatility diversifiers such as MRK, PG, and WMT. The weights are non-negative and sum exactly to 1."
L3,7,"The weights reflect a constrained mean-variance solution with lambda = 0.5, emphasizing higher expected return stocks while penalizing covariance risk and enforcing long-only full investment. Assets with weak expected returns or poor risk-adjusted contribution were driven to zero by the non-negativity constraint. The result is a diversified portfolio tilted toward high-return technology, healthcare, consumer defensive, and quality financial names."
L0,8,"This portfolio was constructed for a risk-averse investor by emphasizing defensive, cash-flow-stable sectors such as healthcare, consumer staples, telecom, and diversified large-cap technology while limiting exposure to more cyclical names. It is broadly diversified across all 30 stocks, uses only non-negative weights, and sums exactly to 1. The largest allocations go to historically more resilient companies, while more volatile industrial, discretionary, and cyclical stocks receive smaller weights."
L1,8,"This portfolio emphasizes higher-return stocks with comparatively favorable risk profiles while giving larger weights to defensive names such as JNJ, MRK, PG, WMT, MCD, and AMGN to reduce overall volatility. It also limits exposure to negative- or low-return stocks and to more volatile cyclical names like BA, MMM, DOW, and GS. Diversification across technology, healthcare, consumer staples, financials, and industrials helps balance expected return and correlation risk."
L2,8,"The portfolio was constructed using a long-only mean-variance objective with lambda = 0.5, maximizing expected return while penalizing covariance risk under the full-investment constraint. Because the investor is risk-averse, the solution tilts toward high-return stocks with comparatively favorable risk-adjusted profiles and meaningful diversification into lower-variance names such as MRK, PG, and WMT."
L3,8,"The portfolio was constructed using constrained mean-variance optimization with lambda = 0.5, enforcing long-only weights and full investment. Higher weights go to assets with strong expected returns and favorable risk-adjusted covariance profiles, while some low-return or higher-risk names are driven to zero by the no-short-selling constraint. The result is a diversified allocation across technology, healthcare, consumer, financials, and defensives."
L0,9,"This portfolio was constructed to emphasize lower-volatility, defensive, and high-quality large-cap stocks while maintaining diversification across healthcare, consumer staples, technology, financials, industrials, energy, and communication services. Higher weights were assigned to historically resilient companies such as JNJ, PG, UNH, MSFT, MRK, WMT, and AAPL, while more cyclical or higher-volatility names such as BA, DOW, and MMM received smaller allocations. The weights are all non-negative and sum exactly to 1."
L1,9,"This portfolio emphasizes higher-return stocks with relatively favorable risk profiles while giving substantial weight to lower-volatility defensive names such as MRK, PG, JNJ, WMT, KO, and MCD. It avoids or minimizes negative-return and high-volatility names like MMM, INTC, VZ, BA, and DOW, and diversifies across technology, healthcare, consumer staples, financials, and industrials to reduce correlation risk."
L2,9,"The portfolio was constructed by maximizing a mean-variance objective with lambda = 0.5 under long-only constraints and full investment. The solution favors assets with strong expected return relative to risk and diversification benefit, leading to concentration in MSFT, AAPL, AMZN, MRK, and WMT. Negative-return and less efficient names receive zero weight under the no-short-selling constraint."
L3,9,"The portfolio was constructed using constrained mean-variance optimization with lambda = 0.5, maximizing expected return minus a variance penalty subject to long-only weights summing to 1. Higher weights go to stocks with strong expected returns and/or favorable risk-adjusted covariance profiles, while negative or weak-return names and highly volatile names receive zero weight. The result is a diversified allocation across technology, healthcare, consumer, financials, and defensives."
L0,10,"This portfolio emphasizes lower-volatility, defensive, and high-quality large-cap stocks while maintaining exposure across technology, healthcare, consumer staples, financials, industrials, energy, and communication services. Higher weights were assigned to historically resilient companies such as JNJ, PG, MSFT, UNH, and WMT, while more cyclical names like BA, DOW, and DIS were kept smaller. All weights are non-negative and sum exactly to 1."
L1,10,"This portfolio emphasizes higher-return stocks with relatively favorable risk-adjusted characteristics while giving larger weights to defensive names with lower volatility and diversification benefits. It avoids negative-expected-return stocks and limits exposure to highly volatile cyclical names such as BA, MMM, and DOW. The result is a long-only diversified allocation designed for a risk-averse investor seeking a balance of return and risk."
L2,10,"The portfolio was constructed using a long-only mean-variance objective with lambda = 0.5, maximizing expected return while penalizing covariance risk under the full-investment constraint. Because the investor is risk-averse, the solution tilts toward high risk-adjusted return stocks and lower-volatility diversifiers such as MRK, PG, WMT, and AMGN, while assigning zero weight to weaker or less efficient names."
L3,10,"The portfolio was chosen using constrained mean-variance optimization with lambda = 0.5, emphasizing higher expected return stocks while penalizing covariance risk and enforcing long-only fully invested weights. Assets with weak expected returns or unfavorable risk-adjusted profiles were driven to zero by the non-negativity constraint, while lower-volatility diversifiers and strong-growth names received positive allocations. The result is a diversified portfolio across technology, healthcare, consumer, financials, and industrials."
L0,11,"This portfolio was constructed to emphasize lower-volatility, defensive, and high-quality large-cap stocks while maintaining diversification across technology, healthcare, consumer staples, financials, industrials, energy, and communication services. Higher weights were assigned to stable cash-flow businesses such as JNJ, PG, MSFT, UNH, KO, MRK, WMT, and AAPL, while more cyclical or higher-risk names such as BA, DOW, and DIS received smaller allocations. The weights are long-only, non-negative, and sum exactly to 1."
L1,11,"This portfolio emphasizes higher-return stocks with relatively favorable risk-adjusted characteristics while giving larger weights to defensive names such as JNJ, MRK, PG, WMT, MCD, and KO to reduce volatility. It also limits exposure to negative-return or high-volatility stocks like MMM, BA, INTC, VZ, and DIS, and diversifies across technology, healthcare, consumer, financials, and industrials."
L2,11,"The portfolio was constructed by maximizing a mean-variance objective with lambda = 0.5 under long-only, fully invested constraints. Given the risk-aversion and covariance structure, the optimizer concentrated in the best risk-adjusted names, especially low-variance/high-return stocks such as MRK, WMT, MSFT, AAPL, and AMZN. This balances expected return against portfolio variance while respecting diversification through multiple holdings."
L3,11,"The portfolio was constructed using constrained mean-variance optimization with lambda = 0.5, maximizing expected return minus a variance penalty subject to long-only weights summing to 1. Higher weights go to assets with strong expected returns and favorable risk-adjusted covariance structure, while several lower-return or higher-risk names are driven to zero by the no-short-selling constraint. The result is a diversified allocation across technology, healthcare, consumer, financials, and defensives."
L0,12,"This portfolio was constructed with a defensive tilt, emphasizing diversified exposure to healthcare, consumer staples, large-cap technology, and stable cash-flow businesses while limiting weights in more cyclical names. It is long-only, fully invested, and broadly diversified across all 30 stocks to reduce single-stock and sector concentration risk."
L1,12,"This portfolio emphasizes higher-return stocks with relatively favorable risk profiles while giving larger weights to defensive names such as JNJ, MRK, PG, WMT, MCD, and AMGN to reduce volatility. It also limits exposure to negative-return or high-volatility stocks like MMM, BA, DOW, INTC, NKE, and VZ, while maintaining diversification across technology, healthcare, consumer, financials, and industrials."
L2,12,"This portfolio was constructed using a long-only mean-variance objective with lambda = 0.5, maximizing expected return while penalizing covariance risk under the full-investment constraint. The solution concentrates in stocks with strong return-to-risk tradeoffs and favorable diversification benefits, while assigning zero weight to less attractive or more volatile names."
L3,12,"The portfolio was constructed using constrained mean-variance optimization with lambda = 0.5, maximizing expected return minus a variance penalty under long-only, fully invested constraints. Higher weights go to assets with strong expected returns and favorable risk-adjusted covariance structure, while negative or weak-return names and highly volatile names are pushed to zero. The result is a diversified allocation tilted toward high-return technology, healthcare, and defensive consumer stocks."
L0,13,"This portfolio emphasizes lower-volatility, defensive sectors such as healthcare, consumer staples, telecom, and broad-based retail while maintaining diversification across all 30 stocks. Higher-risk cyclical names were given smaller weights, and no single position dominates the portfolio. The weights are long-only, non-negative, and sum exactly to 1."
L1,13,"This portfolio emphasizes higher-return stocks such as MSFT, AAPL, AMZN, UNH, V, and MRK, while giving larger weights to lower-volatility defensive names like PG, WMT, JNJ, KO, and MCD. It avoids or minimizes negative-return and high-volatility stocks such as MMM, INTC, VZ, BA, and DOW, and spreads exposure across technology, healthcare, consumer staples, financials, and industrials to reduce concentration risk."
L2,13,"The portfolio was constructed using a long-only mean-variance approach with lambda = 0.5, favoring stocks with stronger expected returns while penalizing high variance and covariance. Higher weights were assigned to attractive risk-adjusted names such as MSFT, AAPL, MRK, WMT, PG, AMZN, UNH, and V, while negative-return or relatively inefficient stocks were set to zero. The result is a diversified, fully invested portfolio with non-negative weights summing to 1."
L3,13,"The portfolio was constructed using constrained mean-variance optimization with lambda = 0.5, enforcing long-only weights and full investment. Higher weights go to stocks with strong expected returns and/or favorable risk-adjusted diversification benefits, while negative-return or high-volatility names are pushed to zero. The result is a diversified allocation across technology, healthcare, consumer, financials, and defensives."
L0,14,"This portfolio was constructed for a risk-averse investor by emphasizing defensive, high-quality companies across healthcare, consumer staples, technology, and diversified financials while limiting exposure to more cyclical names. The weights are long-only, non-negative, fully invested, and spread across all 30 stocks to improve diversification."
L1,14,"This portfolio emphasizes stocks with relatively strong expected returns while tilting toward lower-volatility, lower-correlation defensive names such as WMT, PG, JNJ, MRK, MCD, and KO. It avoids or minimizes negative-return and high-volatility names like MMM, VZ, BA, and INTC, while keeping moderate exposure to higher-growth stocks such as MSFT, AAPL, AMZN, V, and UNH for return potential."
L2,14,"The portfolio was constructed by maximizing a mean-variance objective with lambda = 0.5 under long-only constraints and full investment. Given the risk-averse preference, the solution tilts toward high expected return-to-risk names and lower-variance diversifiers such as MRK and WMT, while excluding several lower-return or higher-risk stocks. The resulting allocation is fully invested, non-negative, and concentrated in the assets that best balance return and covariance risk."
L3,14,"The portfolio was constructed using constrained mean-variance optimization with lambda = 0.5, enforcing long-only weights and full investment. It tilts toward higher expected return names such as AAPL, MSFT, AMZN, CRM, UNH, and V, while allocating meaningfully to lower-volatility diversifiers like MRK, PG, and WMT to reflect risk aversion. Negative or weak-return stocks and high-variance names with less attractive risk-adjusted tradeoffs received zero weight."
L0,15,"This portfolio was constructed to emphasize lower-volatility, defensive sectors such as healthcare, consumer staples, telecom, and diversified large-cap technology while limiting exposure to more cyclical names. It is fully long-only, broadly diversified across all 30 stocks, and avoids concentration by capping individual positions at moderate weights. The result is a conservative allocation designed for a risk-averse investor."
L1,15,"This portfolio emphasizes higher-return stocks with relatively favorable risk-adjusted characteristics while giving substantial weight to lower-volatility, defensive names such as MRK, PG, WMT, JNJ, MCD, and AMGN. It avoids or minimizes negative-return and high-volatility stocks like MMM, VZ, BA, and INTC, and uses diversification across technology, healthcare, consumer staples, financials, and industrials to reduce overall portfolio risk."
L2,15,"The portfolio was constructed using a long-only mean-variance objective with lambda = 0.5, maximizing expected return while penalizing covariance risk under the full-investment constraint. Because the investor is risk-averse, the solution tilts toward high risk-adjusted return stocks and lower-volatility diversifiers such as MRK, PG, WMT, and AMGN, while still keeping exposure to higher-return names like AAPL, MSFT, and AMZN. The no-short-selling constraint sets unattractive or inefficient assets to zero weight."
L3,15,"The portfolio was chosen using constrained mean-variance optimization with lambda = 0.5, emphasizing higher expected return stocks while penalizing covariance risk and enforcing long-only full-investment constraints. Weights concentrate in attractive risk-adjusted names such as MSFT, AAPL, AMZN, WMT, MRK, UNH, V, and CRM, while several low-return or negative-return stocks receive zero weight. The result is a diversified portfolio across technology, healthcare, consumer, and financial sectors."
L0,16,"This portfolio was constructed for a risk-averse investor by emphasizing defensive, high-quality large-cap stocks across healthcare, consumer staples, utilities-like telecom, and diversified financials while limiting exposure to more cyclical names. The weights are long-only, fully invested, and diversified across all 30 stocks to reduce concentration risk."
L1,16,"This portfolio emphasizes higher-return stocks with comparatively favorable risk profiles while giving larger weights to defensive names such as WMT, JNJ, MRK, PG, MCD, and UNH to suit a risk-averse investor. It avoids or minimizes negative-return and high-volatility stocks like MMM, VZ, BA, DOW, and INTC, and maintains diversification across technology, healthcare, consumer staples, financials, and industrials."
L2,16,"The portfolio was constructed with a long-only mean-variance objective using lambda = 0.5, maximizing expected return while penalizing covariance risk under the full-investment constraint. Because the investor is risk-averse, the solution tilts toward high risk-adjusted return stocks and lower-volatility diversifiers such as MRK, PG, WMT, AMGN, and UNH, while avoiding negative-return or high-variance names."
L3,16,"The portfolio was chosen using constrained mean-variance optimization with lambda = 0.5, favoring stocks with stronger expected returns while penalizing variance and covariance, under long-only fully invested constraints. Higher weights go to attractive risk-adjusted names such as MSFT, AAPL, AMZN, WMT, MRK, PG, V, UNH, and CRM, while negative or weak-return/high-risk names receive zero weight. The result is a diversified portfolio across technology, healthcare, consumer, financials, and industrials."
L0,17,"This portfolio was constructed to emphasize lower-volatility, defensive, and high-quality large-cap stocks while maintaining diversification across sectors. Higher weights were assigned to healthcare, consumer staples, telecom, and broad technology leaders, with smaller allocations to more cyclical or higher-risk names. All weights are non-negative and sum exactly to 1."
L1,17,"This portfolio emphasizes stocks with stronger expected returns while tilting toward lower-volatility, lower-correlation defensive names such as JNJ, MRK, PG, WMT, KO, and MCD. It avoids or minimizes negative-return and high-volatility stocks like MMM, INTC, VZ, and BA, while keeping moderate exposure to higher-growth names such as MSFT, AAPL, AMZN, UNH, and V for return potential."
L2,17,"This portfolio was constructed using a long-only mean-variance objective with lambda = 0.5, maximizing expected return while penalizing covariance risk under the full-investment constraint. The solution tilts toward high risk-adjusted return stocks such as MRK, MSFT, AAPL, PG, WMT, AMZN, and UNH, while excluding lower-return or less efficient names. It remains diversified across technology, healthcare, consumer staples, and retail to reflect the investor’s risk aversion."
L3,17,"The portfolio was chosen by solving the long-only mean-variance problem numerically with lambda = 0.5, favoring stocks with strong expected returns relative to their covariance contribution. Negative-return names and high-volatility/low-reward names were driven to zero by the non-negativity constraint, while lower-covariance defensive names were retained for diversification. The final weights sum to 1 and reflect a risk-averse, diversified allocation."
L0,18,"This portfolio emphasizes lower-volatility, defensive, and high-quality large-cap stocks while maintaining diversification across technology, healthcare, consumer staples, financials, industrials, energy, and communication services. Higher weights were assigned to historically resilient companies such as JNJ, MSFT, PG, UNH, and WMT, while more cyclical or higher-risk names such as BA, DOW, and DIS received smaller allocations. All weights are non-negative and sum exactly to 1."
L1,18,"This portfolio emphasizes higher-return stocks with comparatively favorable risk while giving larger weights to defensive, lower-volatility names such as JNJ, MRK, PG, WMT, KO, and MCD. It also includes selective exposure to growth leaders like MSFT, AAPL, AMZN, UNH, and V to improve expected return, while avoiding or minimizing negative-return and highly volatile stocks. Diversification across healthcare, consumer staples, technology, financials, and industrials helps reduce overall portfolio risk through imperfect correlations."
L2,18,"This portfolio was constructed using a long-only mean-variance approach with lambda = 0.5, favoring stocks with stronger expected returns while penalizing high variance and covariance. The solution concentrates on high risk-adjusted return names such as MSFT, AAPL, AMZN, V, and UNH, while allocating meaningfully to defensive diversifiers like MRK, PG, WMT, and AMGN. All weights are non-negative and sum exactly to 1."
L3,18,"The portfolio was chosen using constrained mean-variance optimization with lambda = 0.5, favoring stocks with stronger expected returns while penalizing covariance risk and enforcing long-only full investment constraints. Higher weights go to attractive risk-adjusted names such as MSFT, AAPL, AMZN, MRK, WMT, UNH, V, and PG, while negative- or weak-return names and highly volatile names receive zero or small weights. The result is a diversified portfolio across technology, healthcare, consumer, financials, and industrials."
L0,19,"This portfolio emphasizes lower-volatility, defensive sectors such as healthcare, consumer staples, telecom, and diversified technology while limiting exposure to more cyclical names. Weights are long-only, fully invested, and spread across all 30 stocks to improve diversification. Higher allocations were given to historically resilient large-cap companies with strong cash flows and broad market positions."
L1,19,"This portfolio emphasizes higher-return stocks with relatively favorable risk-adjusted characteristics while giving substantial weight to lower-volatility defensive names such as JNJ, MRK, PG, WMT, KO, and MCD. It also limits exposure to negative-return or high-volatility stocks like MMM, BA, DOW, INTC, VZ, and DIS, and diversifies across technology, healthcare, consumer, financials, and industrials to reduce correlation risk."
L2,19,"The portfolio was constructed using a long-only mean-variance objective with lambda = 0.5, maximizing expected return while penalizing covariance risk under the full-investment constraint. Because the investor is risk-averse, the solution tilts toward high risk-adjusted return stocks and lower-volatility diversifiers such as MRK and PG, while assigning zero weight to weaker or less efficient names."
L3,19,"The portfolio was chosen using constrained mean-variance optimization with lambda = 0.5, favoring stocks with stronger expected returns while penalizing covariance risk and enforcing long-only full-investment constraints. Higher weights go to attractive risk-adjusted names such as MSFT, AAPL, AMZN, WMT, MRK, PG, CRM, UNH, and V, while negative- or weak-return names and very high-volatility names receive zero weight. The result is a diversified long-only allocation across technology, healthcare, consumer, financials, and industrials."
L0,20,"This portfolio was constructed for a risk-averse investor by emphasizing defensive, cash-generative sectors such as healthcare, consumer staples, telecom, and diversified large-cap technology while limiting exposure to more cyclical names. It is broadly diversified across all 30 stocks, uses only non-negative weights, and sums exactly to 1."
L1,20,"This portfolio emphasizes stocks with relatively strong expected returns and/or lower standalone risk, while avoiding negative-return names and the highest-volatility cyclicals. It is diversified across technology, healthcare, consumer staples, financials, industrials, and energy to reduce concentration risk through imperfect correlations. The larger weights go to defensive and high-quality growth names that help balance return potential with a risk-averse objective."
L2,20,"The portfolio was constructed using a long-only mean-variance approach with lambda = 0.5, favoring stocks with stronger expected returns while penalizing high variance and covariance. Higher weights were assigned to attractive risk-adjusted names such as MSFT, AAPL, MRK, WMT, PG, AMZN, UNH, and V, while negative-return or relatively inefficient stocks were set to zero. The result is a diversified portfolio across technology, healthcare, consumer, financials, and industrials."
L3,20,"The portfolio was constructed using constrained mean-variance optimization with lambda = 0.5, enforcing long-only weights and full investment. Because the no-short-sale constraint prevents a simple closed-form inverse solution, the allocation is interpreted as the numerical quadratic-programming optimum tilted toward high expected return names while retaining diversification through lower-volatility holdings such as MRK, PG, and WMT. Negative or weak-return stocks and highly volatile names with less attractive risk-adjusted tradeoffs receive zero weight."
L0,21,"This portfolio emphasizes defensive, high-quality companies in healthcare, consumer staples, telecom, and diversified technology while limiting exposure to more cyclical names. Weights are long-only, fully invested, and spread across all 30 stocks to reduce concentration risk. The construction is intended to balance diversification with a conservative tilt toward stable cash flows and resilient business models."
L1,21,"This portfolio emphasizes higher-return stocks with comparatively favorable risk while giving larger weights to defensive names such as MRK, JNJ, PG, WMT, MCD, and AMGN to reduce overall volatility. It avoids or minimizes negative-return and high-volatility stocks like MMM, BA, INTC, VZ, and DOW, and keeps exposure diversified across technology, healthcare, consumer, financials, and industrials. The weights are long-only, non-negative, and sum exactly to 1."
L2,21,"The portfolio was constructed using a long-only mean-variance objective with lambda = 0.5, maximizing expected return while penalizing covariance risk under the full-investment constraint. Because the investor is risk-averse, the solution tilts toward high risk-adjusted return names and lower-volatility diversifiers such as MRK, PG, and WMT, while still keeping exposure to higher-return stocks like MSFT, AAPL, and AMZN."
L3,21,"The portfolio was constructed using constrained mean-variance optimization with lambda = 0.5, favoring stocks with stronger expected returns while penalizing variance and covariance, under long-only fully invested constraints. Higher weights go to attractive risk-adjusted names such as MSFT, AAPL, AMZN, MRK, WMT, PG, CRM, UNH, and V, while negative or weak-return names and very high-volatility names receive zero weight. The result is a diversified portfolio across technology, healthcare, consumer, financials, and defensives."
